,Crop,Soil_Classification,Objectid,Nitrous,Carbon_dioxide,Methane,Air_Temp_DEGC,Soil_Temp_DEGC,Soil_Moisture,Fert_Ammend_Class
0,0,6,46481,0.86189724,632.1930262,0.36350787,0.0,0.0,0.0,3
1,0,6,46482,0.82801791,648.737378,0.32828169,0.0,0.0,0.0,3
2,0,6,46483,0.79413859,665.2817298,0.29305552,0.0,0.0,0.0,3
3,0,6,46484,0.76025926,681.8260816000001,0.25782934,0.0,0.0,0.0,3
4,0,6,46485,0.72637993,698.3704334,0.22260316,0.0,0.0,0.0,3
5,0,6,46486,0.69250061,714.9147852000001,0.18737698,0.0,0.0,0.0,3
6,0,6,46487,0.65862128,731.459137,0.15215079999999997,0.0,0.0,0.0,3
7,0,6,46488,0.62474195,748.0034887999999,0.11692462,0.0,0.0,0.0,3
8,0,6,46489,0.59086263,764.5478405,0.08169844,0.0,0.0,0.0,3
9,0,6,46490,0.5569833000000001,781.0921923,0.04647226,0.0,0.0,0.0,3
10,0,6,46491,0.52310398,797.6365441,0.01124608,0.0,0.0,0.0,3
11,0,6,46492,0.48922465,814.1808959,-0.023980099999999997,0.0,0.0,0.0,3
12,0,6,46493,0.45534532,830.7252477000001,-0.05920628,0.0,0.0,0.0,3
13,0,6,46494,0.421466,847.2695994999999,-0.09443246,0.0,0.0,0.0,3
14,0,6,46495,0.38758667,863.8139513,-0.12965864,0.0,0.0,0.0,3
15,0,6,46496,0.35370734,880.3583031,-0.16488482,0.0,0.0,0.0,3
16,0,6,46497,0.31982802,896.9026549,-0.20011099999999998,0.0,0.0,0.0,3
17,0,6,46498,0.28594869,913.4470066,-0.23533718,2.45,0.2,10.9,3
18,0,6,46499,0.30014264,908.8340079,-0.25694654,0.0,0.0,0.0,3
19,0,6,46500,0.31433659,904.2210091,-0.27855591,0.0,0.0,0.0,3
20,0,6,46501,0.32853054,899.6080103,-0.30016527,0.0,0.0,0.0,3
21,0,6,46502,0.34272449,894.9950115,-0.32177464,0.0,0.0,0.0,3
22,0,6,46503,0.35691843,890.3820127,-0.343384,0.0,0.0,0.0,3
23,0,6,46504,0.37111238,885.7690139,-0.36499337,0.0,0.0,0.0,3
24,0,6,46505,0.38530633,881.1560151000001,-0.38660273,0.0,0.0,0.0,3
25,0,6,46506,0.39950028,876.5430162999999,-0.40821209999999997,0.0,0.0,0.0,3
26,0,6,46507,0.41369423,871.9300175000001,-0.42982147,0.0,0.0,0.0,3
27,0,6,46508,0.42788818,867.3170187999999,-0.45143083,0.0,0.0,0.0,3
28,0,6,46509,0.44208213,862.7040199999999,-0.4730402,0.0,0.0,0.0,3
29,0,6,46510,0.45627607,858.0910212000001,-0.49464956,0.0,0.0,0.0,3
30,0,6,46511,0.47047002,853.4780224,-0.51625893,0.0,0.0,0.0,3
31,0,6,46512,0.48466397,848.8650236,-0.5378683000000001,7.4,6.7,15.0,3
32,0,6,46513,1.07930781,512.8668179,0.67580851,0.0,0.0,0.0,1
33,0,6,46514,1.12101866,513.2757962000001,0.65193927,0.0,0.0,0.0,1
34,0,6,46515,1.1627295,513.6847746000001,0.62807004,0.0,0.0,0.0,1
35,0,6,46516,1.20444035,514.0937529,0.6042008000000001,0.0,0.0,0.0,1
36,0,6,46517,1.2461512,514.5027313,0.58033157,0.0,0.0,0.0,1
37,0,6,46518,1.28786205,514.9117096,0.55646234,0.0,0.0,0.0,1
38,0,6,46519,1.32957289,515.320688,0.5325930999999999,0.0,0.0,0.0,1
39,0,6,46520,1.37128374,515.7296664,0.50872387,0.0,0.0,0.0,1
40,0,6,46521,1.41299459,516.1386447,0.48485464,-0.7,-1.0,13.9,1
41,0,6,46522,1.38623115,504.74397719999996,0.41098728,0.0,0.0,0.0,1
42,0,6,46523,1.35946771,493.34930959999997,0.33711993,0.0,0.0,0.0,1
